time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-06-14T13:18:37.000Z,52.08034838,5.17617327,20.0,22.512001,88.9,0.2,0,gps,,,,,,,,65,
2019-06-14T13:18:48.000Z,52.08053662,5.17610454,47.0,8.576,221.6,0.59,15,gps,0.7,0.7,1.0,47.0,,,,65,
2019-06-14T13:18:59.000Z,52.08037724,5.17631114,44.0,6.432,148.1,1.31,16,gps,0.7,0.7,1.0,47.0,,,,65,
2019-06-14T13:19:10.000Z,52.08019432,5.17648278,41.0,5.36,140.2,1.38,18,gps,0.6,0.7,0.9,47.0,,,,65,
2019-06-14T13:19:21.000Z,52.0799553,5.17663755,36.0,8.576,159.2,1.74,16,gps,0.7,0.7,1.0,47.0,,,,65,
2019-06-14T13:19:32.000Z,52.07951478,5.1771518,37.0,8.576,147.1,3.96,17,gps,0.7,0.7,1.0,47.0,,,,65,
2019-06-14T13:19:43.000Z,52.07898186,5.17786269,35.0,11.792,138.3,5.2,17,gps,0.7,0.7,1.0,47.0,,,,65,
2019-06-14T13:19:54.000Z,52.07858772,5.17840721,36.0,11.792,142.3,4.94,19,gps,0.6,0.7,0.9,47.0,,,,65,
2019-06-14T13:20:05.000Z,52.07824947,5.17894076,40.0,12.864,138.9,4.92,16,gps,0.8,0.8,1.1,47.0,,,,65,
2019-06-14T13:20:16.000Z,52.07805019,5.17946336,39.0,15.008,86.6,4.64,16,gps,0.8,0.7,1.0,47.0,,,,65,
2019-06-14T13:20:27.000Z,52.07751828,5.17983291,44.0,11.792,147.5,5.22,15,gps,0.8,0.7,1.1,47.0,,,,65,
2019-06-14T13:20:38.000Z,52.0771767,5.18027351,44.0,10.72,137.4,4.39,19,gps,0.6,0.7,0.9,47.0,,,,65,
2019-06-14T13:20:49.000Z,52.07689962,5.1806216,45.0,10.72,141.8,1.06,18,gps,0.7,0.7,1.0,47.0,,,,65,
2019-06-14T13:21:00.000Z,52.07649294,5.18106767,43.0,11.792,144.5,3.74,17,gps,0.7,0.7,1.0,47.0,,,,65,
2019-06-14T13:21:11.000Z,52.07629917,5.18135153,43.0,10.72,118.9,1.53,15,gps,1.0,0.8,1.3,47.0,,,,64,
2019-06-14T13:21:22.000Z,52.07597187,5.18166654,41.0,11.792,142.8,2.28,16,gps,0.7,0.7,1.0,47.0,,,,64,
2019-06-14T13:21:33.000Z,52.07525791,5.18248782,40.0,12.864,137.2,5.0,18,gps,0.7,0.7,0.9,47.0,,,,64,
2019-06-14T13:21:44.000Z,52.07491068,5.18290689,36.0,10.72,144.4,1.41,18,gps,0.7,0.7,0.9,47.0,,,,64,
2019-06-14T13:21:55.000Z,52.07472418,5.18309554,39.0,11.792,154.1,1.69,17,gps,0.7,0.7,0.9,47.0,,,,64,
2019-06-14T13:22:06.000Z,52.07442559,5.18339708,35.0,10.72,160.2,2.41,18,gps,0.7,0.7,0.9,47.0,,,,64,
2019-06-14T13:22:17.000Z,52.07385511,5.18410835,31.0,12.864,131.7,3.18,15,gps,0.9,0.8,1.1,47.0,,,,64,
2019-06-14T13:22:28.000Z,52.07344892,5.18480335,37.0,11.792,134.0,5.53,13,gps,0.7,0.8,1.1,47.0,,,,64,
2019-06-14T13:22:39.000Z,52.07311556,5.18526023,34.0,11.792,146.6,3.96,14,gps,1.1,0.8,1.3,47.0,,,,64,
2019-06-14T13:22:49.000Z,52.07306313,5.18544567,41.0,3.216,,0.0,19,gps,0.6,0.6,0.9,47.0,,,,64,
