15:29:02:350,0.96,-41,11
15:29:02:698,1.91,-42,8
15:29:03:050,2.87,-50,8
15:29:03:400,3.83,-42,8
15:29:03:750,4.79,-43,11
15:29:04:102,5.75,-40,8
15:29:04:450,6.71,-38,8
15:29:04:802,7.67,-40,9
15:29:05:153,8.63,-42,8
15:29:05:501,9.58,-43,8
15:29:05:853,10.55,-40,8
15:29:06:201,11.5,-46,11
15:29:06:553,12.46,-43,9
15:29:06:901,13.41,-41,11
15:29:07:253,14.38,-43,8
15:29:07:602,15.33,-39,8
15:29:07:954,16.3,-42,10
15:29:08:303,17.25,-48,8
15:29:08:654,18.21,-43,11
15:29:09:002,19.16,-44,8
15:29:09:354,20.13,-41,11
15:29:09:705,21.09,-47,9
15:29:10:054,22.04,-41,10
15:29:10:404,23.0,-52,10
15:29:10:756,23.97,-44,11
15:29:11:104,24.92,-43,11
15:29:11:456,25.88,-46,9
15:29:11:804,26.83,-47,10
15:29:12:156,27.84,-55,9
15:29:12:508,28.9,-53,11
15:29:12:856,29.95,-52,9
15:29:13:208,31.0,-58,8
15:29:13:554,32.04,-53,8
15:29:13:907,33.11,-63,11
15:29:14:255,34.15,-58,11
15:29:14:607,35.21,-62,10
15:29:14:955,36.26,-68,8
15:29:15:307,37.32,-62,10
15:29:15:655,38.36,-71,10
15:29:16:007,39.42,-67,11
15:29:16:359,40.48,-84,7
15:29:16:707,41.53,-75,9
15:29:17:059,42.59,-78,8
15:29:17:407,43.64,-70,8
15:29:17:760,44.7,-69,10
15:29:18:108,45.74,-71,9
15:29:18:458,46.8,-69,9
15:29:18:808,47.85,-70,11
15:29:19:160,48.91,-66,5
15:29:19:508,49.96,-66,9
15:29:19:860,51.01,-72,9
15:29:20:208,52.06,-76,10
15:29:20:558,53.11,-75,10
15:29:20:910,54.17,-81,8
15:29:21:262,55.23,-81,8
15:29:21:610,56.28,-80,8
15:29:21:962,57.34,-79,8
15:29:22:662,59.44,-76,9
15:29:23:010,60.51,-76,8
15:29:23:363,62.24,-75,10
15:29:23:710,63.94,-75,9
15:29:24:062,65.67,-74,9
15:29:24:414,67.4,-67,8
15:29:24:762,69.1,-76,8
15:29:25:114,70.83,-73,11
15:29:25:462,72.54,-82,9
15:29:25:814,74.26,-72,7
15:29:26:162,75.97,-80,9
15:29:26:514,77.7,-78,8
15:29:26:862,79.4,-75,9
15:29:27:214,81.13,-73,8
15:29:27:563,82.84,-82,10
15:29:27:915,84.57,-88,7
15:29:28:263,86.28,-85,7
15:29:28:615,88.0,-80,8
15:29:28:964,89.71,-79,10
15:29:29:316,91.44,-73,10
15:29:29:664,93.15,-78,8
15:29:30:016,94.87,-80,8
15:29:30:715,98.3,-81,8
15:29:31:067,100.03,-92,5
15:29:31:415,101.74,-83,9
15:29:31:767,103.46,-71,-8
15:29:32:115,105.17,-80,8
15:29:32:467,106.9,-83,8
15:29:32:815,108.6,-79,8
15:29:33:167,110.94,-81,8
15:29:33:518,113.93,-79,8
15:29:33:867,116.91,-90,6
15:29:34:219,119.91,-81,9
15:29:34:567,122.88,-82,10
15:29:35:267,128.86,-84,9
15:29:35:619,131.86,-84,8
15:29:35:967,134.83,-88,8
15:29:36:319,137.84,-87,8
15:29:37:019,143.81,-90,6
15:29:37:371,146.81,-99,-6
15:29:37:720,149.79,-94,2
15:29:38:422,155.78,-90,6
15:29:38:772,158.77,-90,7
15:29:39:120,161.74,-86,8
15:29:39:472,164.75,-87,8
15:29:39:820,167.72,-95,2
15:29:40:172,170.72,-85,7
15:29:40:523,173.72,-91,5
15:29:40:871,176.69,-88,8
15:29:41:223,179.69,-91,5
15:29:41:571,182.66,-86,7
15:29:41:923,185.66,-88,7
15:29:42:271,188.63,-94,3
15:29:42:623,191.64,-89,6
15:29:42:971,194.61,-92,5
15:29:43:324,197.62,-86,7
15:29:43:675,200.62,-87,8
15:29:44:023,203.57,-82,7
15:29:44:375,206.33,-85,9
15:29:44:723,209.05,-89,7
15:29:45:075,211.81,-92,5
15:29:45:427,214.57,-92,4
15:29:45:775,217.3,-92,4
15:29:46:123,220.02,-86,7
15:29:46:475,222.78,-82,8
15:29:46:827,225.54,-86,8
15:29:47:175,228.26,-89,8
15:29:47:524,231.0,-90,6
15:29:47:876,233.76,-86,6
15:29:48:228,236.51,-87,8
15:29:48:578,239.26,-88,4
15:29:48:928,242.0,-94,3
15:29:49:276,244.73,-91,5
15:29:49:628,247.48,-87,7
15:29:49:980,250.24,-89,8
15:29:50:327,252.96,-91,5
15:29:50:679,255.72,-89,5
15:29:51:027,258.44,-92,5
15:29:51:379,261.2,-90,3
15:29:51:731,263.96,-95,3
15:29:52:079,266.69,-98,-1
15:29:52:431,269.44,-96,0
15:29:52:779,272.17,-98,0
15:29:53:131,274.93,-98,-1
15:29:53:480,277.66,-100,-5
15:29:55:930,296.55,-96,0
15:29:56:282,299.2,-99,-2
15:29:56:630,301.81,-98,-4
15:29:56:982,304.45,-96,2
15:29:57:330,307.07,-96,2
15:29:57:684,309.73,-99,-7
15:29:58:032,312.34,-97,0
15:29:58:385,314.99,-96,0
15:29:58:731,317.59,-97,-1
15:29:59:084,320.24,-100,-6
15:29:59:432,322.85,-98,-4
15:29:59:784,325.5,-98,-5
15:30:00:132,328.11,-99,-5
15:30:00:482,330.74,-99,-4
15:30:00:834,333.38,-97,-2
15:30:01:182,336.0,-99,-6
15:30:01:534,338.64,-99,-4
15:30:01:886,341.28,-100,-6
15:30:02:234,343.9,-94,2
15:30:02:586,346.54,-95,1
15:30:02:934,349.15,-97,1
15:30:03:286,351.8,-94,4
15:30:03:634,354.41,-100,-8
15:30:03:986,357.05,-100,-8
15:30:04:334,359.67,-99,-7
15:30:04:686,362.31,-99,-4
15:30:05:036,364.94,-100,-7
15:30:05:388,367.58,-100,-12
15:30:05:736,370.2,-100,-11
15:30:06:088,372.72,-95,2
15:30:07:136,379.19,-96,2
15:30:08:189,385.69,-101,-9
15:30:09:590,394.34,-99,-11
15:30:10:640,400.82,-99,-10
15:30:10:992,402.99,-99,-12
15:30:11:692,407.31,-99,-12
15:30:12:040,409.46,-98,-4
15:30:12:740,413.78,-98,-6
15:30:13:092,415.95,-99,-6
15:30:13:441,418.1,-100,-9
15:30:14:144,422.44,-98,-4
15:30:14:492,424.59,-100,-12
15:30:14:844,426.76,-99,-10
15:30:15:544,431.08,-99,-7
15:30:15:892,433.23,-99,-3
15:30:16:592,437.55,-101,-9
15:30:16:944,439.72,-99,-7
15:30:17:296,441.9,-100,-4
15:30:17:645,444.05,-99,-10
15:30:17:993,446.2,-99,-2
15:30:18:342,448.92,-100,-3
15:30:18:692,451.67,-100,-8
15:30:19:044,454.43,-99,-10
15:30:19:396,457.19,-99,-7
15:30:19:744,459.92,-99,-9
15:30:20:096,462.68,-100,-5
15:30:20:447,465.43,-100,-5
15:30:20:795,468.16,-100,-9
15:30:21:147,470.92,-98,-3
15:30:21:495,473.65,-97,-2
15:30:22:199,479.18,-100,-9
15:30:22:547,481.91,-99,-4
15:30:22:899,484.67,-99,-3
15:30:23:598,490.15,-101,-7
15:30:23:946,492.88,-99,-12
15:30:24:298,495.64,-99,-8
15:30:24:646,498.37,-100,-6
15:30:24:998,501.13,-100,-5
15:30:25:698,506.62,-98,-3
15:30:26:050,509.38,-99,-4
15:30:26:398,512.11,-98,-4
15:30:26:750,514.87,-98,-2
15:30:27:098,517.6,-99,-2
15:30:27:452,520.38,-100,-8
15:30:27:800,523.11,-100,-5
15:30:28:152,525.87,-100,-5
15:30:28:498,528.58,-100,-6
15:30:28:848,531.33,-99,-10
15:30:29:202,534.3,-99,-3
15:30:29:550,537.35,-98,0
15:30:29:902,540.45,-98,0
15:30:30:252,543.52,-98,-1
15:30:30:602,546.6,-95,2
15:30:30:950,549.66,-96,3
15:30:31:302,552.75,-95,3
15:30:31:650,555.81,-98,0
15:30:32:002,558.9,-97,1
15:30:32:702,565.05,-97,-1
15:30:33:054,568.15,-97,0
15:30:33:403,571.21,-97,0
15:30:33:754,574.3,-99,-2
15:30:34:102,577.36,-96,1
15:30:34:802,583.51,-96,0
15:30:35:154,586.6,-96,1
15:30:35:854,592.75,-99,-1
15:30:36:206,595.85,-98,0
15:30:36:554,598.91,-97,0
15:30:36:906,602.0,-98,-1
15:30:37:254,605.06,-96,0
15:30:37:607,608.16,-98,0
15:30:37:955,611.22,-98,0
15:30:38:307,614.31,-98,-1
15:30:38:656,617.38,-97,0
15:30:39:007,620.46,-96,1
15:30:39:356,623.53,-98,-1
15:30:39:708,626.62,-98,-1
15:30:40:055,629.59,-95,-1
15:30:40:408,632.14,-97,1
15:30:40:756,634.65,-96,1
15:30:41:108,637.19,-96,1
15:30:41:460,639.73,-98,0
15:30:41:808,642.25,-97,0
15:30:42:160,644.79,-97,0
15:30:42:508,647.3,-99,-4
15:30:42:860,649.84,-99,-3
15:30:43:208,652.36,-98,0
15:30:43:558,654.89,-99,-3
15:30:43:908,657.41,-98,0
15:30:44:260,659.95,-96,-1
15:30:44:612,662.5,-98,1
15:30:44:960,665.01,-98,-2
15:30:45:312,667.55,-99,-4
15:30:45:660,670.07,-99,-2
15:30:46:012,672.61,-98,-3
15:30:46:360,675.12,-98,-5
15:30:46:712,677.66,-100,-3
15:30:47:060,680.18,-96,-3
15:30:47:412,682.72,-98,-1
15:30:47:762,685.25,-99,-4
15:30:48:111,687.77,-98,-10
15:30:48:460,690.29,-98,-1
15:30:48:814,692.84,-97,1
15:30:49:162,695.36,-96,-9
15:30:49:514,697.9,-99,-10
15:30:49:862,700.41,-96,0
15:30:50:214,702.95,-97,-10
15:30:50:563,705.47,-99,-6
15:30:50:911,707.99,-98,-1
15:30:51:263,710.57,-97,-1
