Time,Distance,RSSI,SNR
15:39:41:846,21.37,-47,8
15:39:42:198,21.37,-48,8
15:39:42:546,21.38,-49,11
15:39:42:898,21.38,-64,10
15:39:43:246,21.47,-54,10
15:39:43:598,21.59,-47,8
15:39:43:946,21.71,-47,8
15:39:44:298,21.84,-60,10
15:39:44:646,21.96,-50,8
15:39:44:997,22.08,-45,8
15:39:45:349,22.21,-43,11
15:39:45:701,22.33,-43,9
15:39:46:049,22.45,-39,8
15:39:46:401,22.58,-40,9
15:39:46:749,22.7,-47,8
15:39:47:105,22.82,-44,11
15:39:47:452,22.95,-48,10
15:39:47:800,23.07,-42,8
15:39:48:152,23.19,-46,9
15:39:48:501,23.32,-52,11
15:39:48:851,23.44,-49,8
15:39:49:199,23.56,-54,7
15:39:49:551,23.68,-75,9
15:39:49:899,23.81,-53,10
15:39:50:253,23.93,-60,10
15:39:50:603,24.05,-47,8
15:39:50:951,24.18,-43,11
15:39:51:303,24.3,-42,10
15:39:51:651,24.42,-54,8
15:39:52:004,24.55,-56,10
15:39:52:352,24.67,-58,9
15:39:52:703,24.79,-56,11
15:39:53:052,24.92,-58,8
15:39:53:403,25.04,-55,11
15:39:53:755,25.16,-49,8
15:39:54:103,25.57,-50,8
15:39:54:455,26.67,-53,8
15:39:54:803,27.75,-52,11
15:39:55:155,28.84,-50,10
15:39:55:503,29.92,-54,9
15:39:55:855,31.02,-59,9
15:39:56:203,32.1,-64,9
15:39:56:555,33.2,-58,8
15:39:56:903,34.28,-62,10
15:39:57:255,35.37,-59,11
15:39:57:604,36.46,-56,8
15:39:57:956,37.55,-59,9
15:39:58:304,38.64,-62,11
15:39:58:656,39.73,-69,8
15:39:59:005,40.82,-71,9
15:39:59:357,41.91,-72,10
15:39:59:705,42.99,-64,8
15:40:00:057,44.09,-66,11
15:40:00:406,45.17,-64,11
15:40:00:758,46.27,-69,9
15:40:01:106,47.35,-70,10
15:40:01:458,48.44,-68,9
15:40:01:806,49.53,-78,4
15:40:02:158,50.62,-65,8
15:40:02:510,51.72,-66,7
15:40:02:858,52.8,-64,8
15:40:03:210,53.89,-66,5
15:40:03:561,54.98,-66,11
15:40:03:910,56.07,-68,7
15:40:04:258,57.15,-69,11
15:40:04:610,58.25,-67,8
15:40:04:958,59.33,-74,7
15:40:05:310,60.65,-83,10
15:40:05:662,62.01,-75,8
15:40:06:010,63.35,-72,9
15:40:06:362,64.71,-67,8
15:40:06:710,66.05,-77,9
15:40:07:062,67.4,-72,10
15:40:07:414,68.76,-72,11
15:40:07:763,70.11,-79,9
15:40:08:111,71.45,-77,10
15:40:08:463,72.8,-83,9
15:40:08:811,74.14,-80,9
15:40:09:163,75.5,-72,11
15:40:09:515,76.86,-72,9
15:40:09:863,78.2,-74,8
15:40:10:215,79.55,-84,8
15:40:10:566,80.9,-87,7
15:40:10:914,82.25,-77,10
15:40:11:262,83.59,-77,9
15:40:11:614,84.94,-80,9
15:40:11:966,86.3,-93,3
15:40:12:314,87.64,-82,8
15:40:12:666,89,-82,6
15:40:13:014,90.34,-84,9
15:40:13:366,91.69,-81,8
15:40:13:714,93.03,-80,8
15:40:14:066,94.39,-86,7
15:40:14:414,95.73,-77,9
15:40:14:766,97.09,-78,10
15:40:15:114,98.43,-86,7
15:40:15:466,99.78,-83,8
15:40:15:818,101.14,-77,9
15:40:16:166,102.57,-81,8
15:40:16:518,104.11,-82,8
15:40:16:866,105.63,-80,10
15:40:17:218,107.17,-91,5
15:40:17:567,108.7,-90,6
15:40:17:919,110.24,-88,7
15:40:18:267,111.77,-81,7
15:40:18:618,113.3,-87,8
15:40:18:970,114.85,-83,8
15:40:19:318,116.37,-80,9
15:40:19:670,117.91,-80,8
15:40:20:018,119.44,-81,8
15:40:20:368,120.97,-82,7
15:40:20:720,122.51,-86,8
15:40:21:072,124.05,-85,7
15:40:21:420,125.57,-88,8
15:40:21:772,127.12,-91,2
15:40:22:120,128.64,-96,1
15:40:22:472,130.18,-96,0
15:40:22:820,131.71,-91,4
15:40:23:172,133.25,-89,7
15:40:23:521,134.78,-91,6
15:40:23:870,136.3,-93,5
15:40:24:222,137.84,-87,8
15:40:24:570,139.37,-79,8
15:40:24:922,140.91,-84,9
15:40:25:270,142.43,-96,1
15:40:25:622,143.98,-90,6
15:40:25:974,145.52,-92,4
15:40:26:322,147.04,-97,0
15:40:26:674,148.58,-87,2
15:40:27:022,150.11,-89,6
15:40:27:374,151.65,-85,7
15:40:27:723,153.19,-88,8
15:40:28:075,154.73,-86,7
15:40:28:423,156.26,-85,7
15:40:28:774,157.8,-85,8
15:40:29:125,159.34,-84,8
15:40:29:477,160.89,-84,8
15:40:29:825,162.42,-86,5
15:40:30:177,163.97,-86,7
15:40:30:527,165.5,-88,8
15:40:30:875,167.03,-87,8
15:40:31:227,168.58,-91,5
15:40:31:575,170.11,-88,8
15:40:31:927,171.65,-92,5
15:40:32:275,173.18,-88,8
15:40:32:627,174.73,-97,0
15:40:33:327,177.8,-94,4
15:40:33:679,179.35,-93,4
15:40:34:027,180.88,-96,2
15:40:34:379,182.42,-91,5
15:40:35:079,185.5,-90,6
15:40:35:427,187.03,-89,7
15:40:35:779,188.57,-88,6
15:40:36:131,190.12,-89,6
15:40:36:479,191.65,-88,8
15:40:36:831,193.19,-87,7
15:40:37:179,194.72,-92,5
15:40:37:527,196.25,-90,5
15:40:37:879,197.8,-93,4
15:40:38:231,199.35,-93,4
15:40:38:581,200.91,-96,2
15:40:38:929,202.45,-93,3
15:40:39:281,204.01,-87,8
15:40:39:629,205.55,-90,6
15:40:39:981,207.11,-96,1
15:40:40:330,208.66,-94,2
15:40:40:682,210.22,-90,6
15:40:41:030,211.76,-94,3
15:40:41:382,213.32,-91,5
15:40:41:730,214.86,-90,4
15:40:42:082,216.42,-95,3
15:40:42:430,217.97,-97,-1
15:40:42:782,219.53,-95,2
15:40:43:134,221.09,-94,2
15:40:43:482,222.63,-97,-1
15:40:43:833,224.19,-95,3
15:40:44:533,227.29,-95,1
15:40:44:885,228.85,-92,5
15:40:45:233,230.39,-94,2
15:40:45:585,231.95,-97,-1
15:40:45:933,233.49,-96,0
15:40:46:285,235.06,-98,-4
15:40:46:633,236.6,-95,3
15:40:46:985,238.16,-95,2
15:40:47:335,239.71,-98,-3
15:40:47:684,241.26,-97,0
15:40:48:036,242.82,-97,1
15:40:48:388,244.38,-97,1
15:40:48:734,245.91,-98,-4
15:40:49:086,247.52,-99,-2
15:40:49:786,250.98,-98,-2
15:40:50:138,252.73,-96,-3
15:40:50:486,254.45,-95,3
15:40:50:838,256.2,-92,4
15:40:51:186,257.92,-93,3
15:40:51:538,259.66,-96,0
15:40:51:886,261.39,-95,3
15:40:52:238,263.13,-93,3
15:40:52:586,264.86,-94,4
15:40:52:938,266.6,-96,0
15:40:53:290,268.34,-97,-2
15:40:53:638,270.07,-95,3
15:40:53:990,271.81,-96,0
15:40:54:338,273.54,-98,-3
15:40:54:690,275.28,-94,3
15:40:55:042,277.03,-93,5
15:40:55:390,278.75,-92,3
15:40:55:742,280.49,-93,4
15:40:56:090,282.22,-91,5
15:40:56:442,283.96,-92,4
15:40:56:790,285.69,-97,0
15:40:57:142,287.43,-95,0
15:40:57:491,289.16,-99,-8
15:40:57:839,290.88,-99,-5
15:40:58:191,292.63,-98,-4
15:40:58:540,294.36,-99,-3
15:40:58:891,296.1,-99,-3
15:40:59:592,299.57,-99,-5
15:41:00:291,302.82,-98,-6
15:41:00:643,304.31,-99,-3
15:41:02:043,310.22,-99,-4
15:41:02:395,311.71,-99,-5
15:41:03:095,314.66,-99,-6
15:41:03:443,316.14,-99,-2
15:41:03:794,317.62,-98,-4
15:41:04:146,319.1,-99,-10
15:41:04:494,320.58,-99,-7
15:41:04:846,322.06,-99,-8
15:41:05:198,323.55,-99,-7
15:41:05:546,325.02,-98,-4
15:41:05:898,326.51,-96,-4
15:41:06:246,327.98,-99,-7
15:41:06:598,329.46,-97,-7
15:41:07:298,332.42,-100,-8
15:41:08:347,336.85,-100,-8
15:41:09:399,341.3,-98,-5
15:41:10:448,345.73,-100,-11
15:41:11:148,348.77,-98,-8
15:41:11:500,350.45,-99,-5
15:41:12:200,353.8,-100,-5
15:41:12:552,355.48,-100,-4
15:41:13:252,358.82,-100,-5
15:41:13:950,362.16,-99,-3
15:41:14:302,363.84,-99,-6
15:41:15:002,367.19,-100,-9
15:41:15:354,368.87,-98,-5
15:41:15:702,370.54,-100,-8
15:41:16:054,372.22,-99,-7
15:41:16:402,373.88,-99,-8
15:41:19:902,390.61,-101,-10
15:41:21:306,397.32,-100,-5
15:41:23:406,407.26,-99,-8
15:41:23:758,408.92,-99,-7
15:41:24:806,413.85,-97,-5
15:41:25:158,415.51,-98,-3
15:41:25:510,417.17,-100,-8
15:41:26:210,420.46,-100,-5
15:41:26:910,423.76,-99,-7
15:41:27:258,425.4,-99,-7
15:41:27:611,427.06,-99,-6
15:41:27:959,428.7,-99,-8
15:41:28:307,430.33,-94,3
15:41:28:659,431.99,-96,1
15:41:29:008,433.63,-96,-1
15:41:29:360,435.29,-95,2
15:41:29:708,436.93,-98,-4
15:41:30:410,440.24,-97,0
15:41:30:762,441.89,-97,-4
15:41:31:110,443.53,-95,2
15:41:31:462,445.19,-98,-2
15:41:31:810,446.83,-98,-1
15:41:32:162,448.48,-98,-2
15:41:32:510,450.12,-98,-6
15:41:32:862,451.78,-98,-9
15:41:33:564,454.97,-99,-4
15:41:33:915,456.56,-97,-6
15:41:34:615,459.71,-99,-3
15:41:34:963,461.28,-100,-5
15:41:35:315,462.87,-98,-7
15:41:35:663,464.44,-98,-4
15:41:36:363,467.59,-100,-4
15:41:37:415,472.34,-99,-11
15:41:38:116,475.5,-99,-5
15:41:38:815,478.65,-99,-5
15:41:39:167,480.24,-98,-3
15:41:39:515,481.81,-98,-4
15:41:39:867,483.39,-98,-3
15:41:40:567,486.55,-100,-10
15:41:40:915,488.12,-99,-5
15:41:41:267,489.71,-99,-6
15:41:41:615,491.28,-99,-3
15:41:41:967,492.86,-96,-4
15:41:42:315,494.43,-99,-2
15:41:42:667,496.02,-96,-3
15:41:43:019,497.61,-97,-5
15:41:43:367,499.18,-97,-2
15:41:43:718,500.76,-97,-4
15:41:44:418,504.03,-97,-2
15:41:44:770,505.71,-98,-3
15:41:45:118,507.38,-98,-4
15:41:46:170,512.41,-99,-6
15:41:46:522,514.1,-100,-7
15:41:46:870,515.76,-99,-5
15:41:47:219,517.43,-99,-6
15:41:47:572,519.12,-99,-6
15:41:47:920,520.79,-100,-12
15:41:48:272,522.47,-100,-7
15:41:48:622,524.15,-99,-8
15:41:49:322,527.5,-98,-6
15:41:49:674,529.18,-99,-4
15:41:50:371,532.52,-99,-3
15:41:50:723,534.2,-101,-8
15:41:51:071,535.87,-98,-10
15:41:51:423,537.55,-99,-8
15:41:51:775,539.24,-100,-5
15:41:52:123,540.9,-99,-4
15:41:52:475,542.59,-98,-3
15:41:52:823,544.25,-98,-1
15:41:53:175,545.94,-97,-3
15:41:53:524,547.61,-98,-2
15:41:53:874,549.28,-97,-4
15:41:54:222,550.95,-97,0
15:41:54:574,552.63,-96,-1
15:41:54:926,554.32,-97,-1
15:41:55:274,555.87,-97,0
15:41:55:626,557.41,-97,-2
15:41:55:974,558.94,-98,-3
15:41:56:326,560.48,-96,1
15:41:56:674,562.01,-96,0
15:41:57:026,563.55,-97,0
15:41:57:374,565.07,-98,-1
15:41:57:727,566.62,-97,-1
15:41:58:075,568.15,-99,-2
15:41:58:427,569.69,-96,-4
15:41:58:778,571.23,-98,-4
15:41:59:127,572.76,-97,-1
15:41:59:479,574.3,-96,-2
15:41:59:827,575.83,-97,-1
15:42:00:179,577.37,-97,-1
15:42:00:526,578.89,-96,-1
15:42:00:878,580.43,-97,-1
15:42:01:230,581.97,-97,-3
15:42:01:578,583.5,-98,-4
15:42:01:930,585.04,-99,-4
15:42:02:278,586.57,-98,-4
15:42:02:630,588.11,-98,-5
15:42:02:978,589.64,-99,-3
15:42:03:330,591.18,-98,-3
15:42:03:682,592.72,-96,-3
15:42:04:030,594.25,-97,0
15:42:04:382,595.79,-98,-3
15:42:04:730,597.31,-99,-2
15:42:05:082,598.86,-99,-3
15:42:05:430,600.38,-99,-2
15:42:05:782,601.92,-98,-1
15:42:06:482,604.8,-97,-1
15:42:06:834,606.19,-97,-1
15:42:07:182,607.58,-97,0
15:42:07:883,610.36,-96,0
15:42:08:235,611.76,-95,2
15:42:08:584,613.15,-98,0
15:42:08:934,614.54,-99,-2
15:42:09:282,615.92,-98,-1
15:42:09:634,617.32,-97,-1
15:42:09:986,618.72,-97,-1
15:42:10:335,620.11,-96,0
15:42:10:683,621.49,-96,1
15:42:11:035,622.89,-96,-1
15:42:11:387,624.29,-98,-3
15:42:12:087,627.07,-98,-2
15:42:12:435,628.46,-97,-1
15:42:12:787,629.86,-96,0
15:42:13:135,631.24,-96,2
15:42:13:488,632.64,-96,2
15:42:13:835,634.02,-97,1
15:42:14:187,635.42,-96,0
15:42:14:535,636.8,-98,-1
15:42:14:887,638.2,-96,0
15:42:15:235,639.58,-96,0
15:42:15:587,640.98,-97,0
15:42:15:935,642.37,-98,-4
15:42:16:287,643.77,-98,-2
15:42:16:639,645.17,-96,0
15:42:16:987,646.55,-95,1
15:42:17:339,648.15,-96,1
15:42:17:688,649.74,-94,2
15:42:18:036,651.33,-95,2
15:42:18:388,652.94,-96,1
15:42:18:738,654.54,-94,3
15:42:19:090,656.15,-94,4
15:42:19:438,657.74,-94,3
15:42:19:790,659.34,-95,0
15:42:20:142,660.95,-97,0
15:42:20:490,662.54,-99,-4
15:42:20:842,664.15,-96,0
15:42:21:190,665.74,-96,0
15:42:21:542,667.34,-97,-1
15:42:21:890,668.93,-96,0
15:42:22:242,670.54,-96,0
15:42:22:590,672.13,-95,2
15:42:22:942,673.74,-94,4
15:42:23:294,675.35,-94,1
15:42:23:642,676.94,-95,1
15:42:23:990,678.53,-94,3
15:42:24:342,680.13,-93,3
15:42:24:690,681.72,-95,1
15:42:25:042,683.33,-93,4
15:42:25:394,684.94,-93,5
15:42:25:742,686.53,-94,3
15:42:26:094,688.13,-95,2
15:42:26:442,689.72,-95,3
15:42:26:794,691.33,-98,-2
15:42:27:496,694.54,-96,1
15:42:27:844,696.13,-96,0
15:42:28:196,697.74,-94,0
15:42:28:545,699.33,-98,-1
15:42:28:893,700.92,-96,1
15:42:29:247,702.54,-96,0
15:42:29:595,704.12,-96,0
15:42:29:947,705.73,-97,0
15:42:30:296,707.33,-96,1
15:42:30:648,708.93,-96,0
15:42:30:996,710.52,-97,-1
15:42:31:348,712.13,-96,0
15:42:31:696,713.72,-98,-2
15:42:32:048,715.33,-97,-1
15:42:32:396,716.92,-95,1
15:42:32:748,718.53,-97,-1
15:42:33:096,720.11,-95,1
15:42:33:448,721.72,-96,0
15:42:33:799,723.33,-98,-3
15:42:34:147,724.92,-98,0
15:42:34:499,726.52,-96,0
15:42:34:847,728.11,-98,-1
15:42:35:547,731.31,-98,-2
15:42:35:899,732.92,-99,-4
15:42:36:247,734.51,-95,-4
15:42:36:599,736.11,-98,0
15:42:36:951,737.72,-96,1
15:42:37:299,739.31,-97,-1
15:42:37:648,740.91,-98,-3
15:42:38:000,742.51,-97,-2
15:42:38:348,744.1,-95,2
15:42:38:702,745.72,-96,0
15:42:39:050,747.3,-98,-2
15:42:39:402,748.89,-98,0
15:42:39:750,750.45,-96,0
15:42:40:102,752.03,-96,1
15:42:40:451,753.6,-96,1
15:42:40:803,755.18,-96,2
15:42:41:151,756.75,-95,1
15:42:41:503,758.33,-96,2
15:42:41:855,759.91,-95,0
15:42:42:203,761.47,-96,1
15:42:42:555,763.05,-96,0
15:42:42:903,764.62,-96,0
15:42:43:255,766.2,-95,0
15:42:43:605,767.77,-95,1
15:42:44:305,770.92,-98,-6
15:42:44:653,772.48,-100,-4
15:42:45:005,774.06,-100,-6
15:42:45:353,775.63,-98,-3
15:42:46:053,778.77,-98,-5
15:42:46:405,780.36,-99,-1
15:42:46:753,781.92,-97,-4
15:42:47:105,783.5,-97,0
15:42:47:456,785.08,-97,0
15:42:47:808,786.66,-98,-2
15:42:48:156,788.22,-98,-4
15:42:48:505,789.79,-99,-8
15:42:48:858,791.38,-99,-11
15:42:49:206,792.94,-100,-9
15:42:49:558,794.52,-99,-6
15:42:49:906,796.09,-100,-6
15:42:50:258,797.75,-99,-5
15:42:50:606,799.42,-99,-6
15:42:50:958,801.1,-99,-3
15:42:51:306,802.77,-100,-5
15:42:51:658,804.46,-98,-8
15:42:52:006,806.13,-99,-6
15:42:52:358,807.82,-99,-7
15:42:53:058,811.17,-98,-6
15:42:53:761,814.54,-100,-16
15:42:54:109,816.21,-99,-9
15:42:54:809,819.57,-100,-8
15:42:55:161,821.25,-100,-12
15:42:55:509,822.92,-99,-13
15:42:55:861,824.61,-100,-9
15:42:56:209,826.28,-100,-7
15:42:56:561,827.97,-99,-14
15:42:57:261,831.32,-99,-9
15:42:57:610,833,-100,-7
15:42:57:962,834.68,-99,-6
15:42:58:310,836.35,-100,-12
15:42:58:661,838.04,-100,-13
15:42:59:362,841.4,-98,-3
15:43:00:062,844.75,-98,-5
15:43:00:414,846.44,-98,-6
15:43:01:114,849.73,-98,-6
15:43:03:214,858.5,-99,-13
15:43:03:563,859.96,-99,-13
15:43:04:266,862.9,-99,-13
15:43:04:618,864.37,-99,-10
15:43:05:318,867.3,-99,-12
15:43:05:666,868.75,-100,-12
15:43:06:018,870.22,-100,-11
15:43:06:366,871.68,-100,-11
15:43:06:718,873.15,-100,-5
15:43:08:817,881.92,-101,-12
15:43:09:169,883.39,-96,-11
15:43:09:517,884.84,-99,-12
15:43:09:869,886.31,-99,-12
15:43:10:217,887.77,-99,-11
15:43:10:567,889.23,-99,-9
15:43:10:919,890.7,-100,-13
15:43:11:619,893.63,-99,-15
