15:39:32:052,null
15:39:32:404,null
15:39:32:752,null
15:39:33:104,null
15:39:33:452,null
15:39:33:803,null
15:39:34:151,null
15:39:34:503,null
15:39:34:851,null
15:39:35:203,null
15:39:35:555,null
15:39:35:903,null
15:39:41:846,-47,8
15:39:42:198,-48,8
15:39:42:546,-49,11
15:39:42:898,-64,10
15:39:43:246,-54,10
15:39:43:598,-47,8
15:39:43:946,-47,8
15:39:44:298,-60,10
15:39:44:646,-50,8
15:39:44:997,-45,8
15:39:45:349,-43,11
15:39:45:701,-43,9
15:39:46:049,-39,8
15:39:46:401,-40,9
15:39:46:749,-47,8
15:39:47:105,-44,11
15:39:47:452,-48,10
15:39:47:800,-42,8
15:39:48:152,-46,9
15:39:48:501,-52,11
15:39:48:851,-49,8
15:39:49:199,-54,7
15:39:49:551,-75,9
15:39:49:899,-53,10
15:39:50:253,-60,10
15:39:50:603,-47,8
15:39:50:951,-43,11
15:39:51:303,-42,10
15:39:51:651,-54,8
15:39:52:004,-56,10
15:39:52:352,-58,9
15:39:52:703,-56,11
15:39:53:052,-58,8
15:39:53:403,-55,11
15:39:53:755,-49,8
15:39:54:103,-50,8
15:39:54:455,-53,8
15:39:54:803,-52,11
15:39:55:155,-50,10
15:39:55:503,-54,9
15:39:55:855,-59,9
15:39:56:203,-64,9
15:39:56:555,-58,8
15:39:56:903,-62,10
15:39:57:255,-59,11
15:39:57:604,-56,8
15:39:57:956,-59,9
15:39:58:304,-62,11
15:39:58:656,-69,8
15:39:59:005,-71,9
15:39:59:357,-72,10
15:39:59:705,-64,8
15:40:00:057,-66,11
15:40:00:406,-64,11
15:40:00:758,-69,9
15:40:01:106,-70,10
15:40:01:458,-68,9
15:40:01:806,-78,4
15:40:02:158,-65,8
15:40:02:510,-66,7
15:40:02:858,-64,8
15:40:03:210,-66,5
15:40:03:561,-66,11
15:40:03:910,-68,7
15:40:04:258,-69,11
15:40:04:610,-67,8
15:40:04:958,-74,7
15:40:05:310,-83,10
15:40:05:662,-75,8
15:40:06:010,-72,9
15:40:06:362,-67,8
15:40:06:710,-77,9
15:40:07:062,-72,10
15:40:07:414,-72,11
15:40:07:763,-79,9
15:40:08:111,-77,10
15:40:08:463,-83,9
15:40:08:811,-80,9
15:40:09:163,-72,11
15:40:09:515,-72,9
15:40:09:863,-74,8
15:40:10:215,-84,8
15:40:10:566,-87,7
15:40:10:914,-77,10
15:40:11:262,-77,9
15:40:11:614,-80,9
15:40:11:966,-93,3
15:40:12:314,-82,8
15:40:12:666,-82,6
15:40:13:014,-84,9
15:40:13:366,-81,8
15:40:13:714,-80,8
15:40:14:066,-86,7
15:40:14:414,-77,9
15:40:14:766,-78,10
15:40:15:114,-86,7
15:40:15:466,-83,8
15:40:15:818,-77,9
15:40:16:166,-81,8
15:40:16:518,-82,8
15:40:16:866,-80,10
15:40:17:218,-91,5
15:40:17:567,-90,6
15:40:17:919,-88,7
15:40:18:267,-81,7
15:40:18:618,-87,8
15:40:18:970,-83,8
15:40:19:318,-80,9
15:40:19:670,-80,8
15:40:20:018,-81,8
15:40:20:368,-82,7
15:40:20:720,-86,8
15:40:21:072,-85,7
15:40:21:420,-88,8
15:40:21:772,-91,2
15:40:22:120,-96,1
15:40:22:472,-96,0
15:40:22:820,-91,4
15:40:23:172,-89,7
15:40:23:521,-91,6
15:40:23:870,-93,5
15:40:24:222,-87,8
15:40:24:570,-79,8
15:40:24:922,-84,9
15:40:25:270,-96,1
15:40:25:622,-90,6
15:40:25:974,-92,4
15:40:26:322,-97,0
15:40:26:674,-87,2
15:40:27:022,-89,6
15:40:27:374,-85,7
15:40:27:723,-88,8
15:40:28:075,-86,7
15:40:28:423,-85,7
15:40:28:774,-85,8
15:40:29:125,-84,8
15:40:29:477,-84,8
15:40:29:825,-86,5
15:40:30:177,-86,7
15:40:30:527,-88,8
15:40:30:875,-87,8
15:40:31:227,-91,5
15:40:31:575,-88,8
15:40:31:927,-92,5
15:40:32:275,-88,8
15:40:32:627,-97,0
15:40:32:987,null
15:40:33:327,-94,4
15:40:33:679,-93,4
15:40:34:027,-96,2
15:40:34:379,-91,5
15:40:34:727,null
15:40:35:079,-90,6
15:40:35:427,-89,7
15:40:35:779,-88,6
15:40:36:131,-89,6
15:40:36:479,-88,8
15:40:36:831,-87,7
15:40:37:179,-92,5
15:40:37:527,-90,5
15:40:37:879,-93,4
15:40:38:231,-93,4
15:40:38:581,-96,2
15:40:38:929,-93,3
15:40:39:281,-87,8
15:40:39:629,-90,6
15:40:39:981,-96,1
15:40:40:330,-94,2
15:40:40:682,-90,6
15:40:41:030,-94,3
15:40:41:382,-91,5
15:40:41:730,-90,4
15:40:42:082,-95,3
15:40:42:430,-97,-1
15:40:42:782,-95,2
15:40:43:134,-94,2
15:40:43:482,-97,-1
15:40:43:833,-95,3
15:40:44:193,null
15:40:44:533,-95,1
15:40:44:885,-92,5
15:40:45:233,-94,2
15:40:45:585,-97,-1
15:40:45:933,-96,0
15:40:46:285,-98,-4
15:40:46:633,-95,3
15:40:46:985,-95,2
15:40:47:335,-98,-3
15:40:47:684,-97,0
15:40:48:036,-97,1
15:40:48:388,-97,1
15:40:48:734,-98,-4
15:40:49:086,-99,-2
15:40:49:446,null
15:40:49:786,-98,-2
15:40:50:138,-96,-3
15:40:50:486,-95,3
15:40:50:838,-92,4
15:40:51:186,-93,3
15:40:51:538,-96,0
15:40:51:886,-95,3
15:40:52:238,-93,3
15:40:52:586,-94,4
15:40:52:938,-96,0
