time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-06-14T14:18:49.000Z,52.07451964,5.1809083,25.0,13.936001,,0.0,0,gps,,,,,,,,58,
2019-06-14T14:19:00.000Z,52.07454904,5.18116799,38.0,12.864,,0.0,12,gps,1.0,0.8,1.3,47.0,,,,58,
2019-06-14T14:19:11.000Z,52.07451524,5.18110641,39.0,11.792,,0.0,13,gps,0.8,0.8,1.2,47.0,,,,58,
2019-06-14T14:19:22.000Z,52.07457097,5.18117673,39.0,12.864,30.5,2.73,13,gps,0.8,0.8,1.2,47.0,,,,58,
2019-06-14T14:19:33.000Z,52.07500032,5.18152,43.0,12.864,14.1,2.11,16,gps,0.8,0.8,1.1,47.0,,,,58,
2019-06-14T14:19:44.000Z,52.07540341,5.18153962,45.0,11.792,337.9,0.54,15,gps,0.8,0.8,1.1,47.0,,,,58,
2019-06-14T14:19:54.000Z,52.07581645,5.1813377,50.0,11.792,338.3,4.19,15,gps,0.8,0.8,1.1,47.0,,,,58,
2019-06-14T14:20:05.000Z,52.07613643,5.18159638,45.0,10.72,51.3,3.32,19,gps,0.7,0.7,1.0,47.0,,,,58,
2019-06-14T14:20:15.000Z,52.07632732,5.18204214,47.0,9.648001,59.4,3.78,20,gps,0.7,0.7,1.0,47.0,,,,58,
2019-06-14T14:20:26.000Z,52.07647675,5.18248962,48.0,10.72,66.8,1.46,20,gps,0.6,0.7,1.0,47.0,,,,58,
2019-06-14T14:20:37.000Z,52.07638717,5.18209601,46.0,10.72,252.1,4.14,18,gps,0.7,0.7,1.0,47.0,,,,58,
2019-06-14T14:20:48.000Z,52.07621333,5.18148096,42.0,10.72,238.4,3.56,19,gps,0.7,0.7,1.0,47.0,,,,58,
2019-06-14T14:20:59.000Z,52.07586652,5.18113733,41.0,10.72,172.4,3.83,17,gps,0.7,0.7,1.0,47.0,,,,58,
2019-06-14T14:21:10.000Z,52.07537741,5.18162605,43.0,10.72,176.2,4.56,15,gps,0.8,0.8,1.1,47.0,,,,58,
2019-06-14T14:21:21.000Z,52.07487095,5.18150845,40.0,10.72,205.9,4.17,16,gps,0.8,0.8,1.1,47.0,,,,58,
2019-06-14T14:21:32.000Z,52.07456399,5.18118508,38.0,10.72,225.0,3.27,16,gps,0.8,0.8,1.1,47.0,,,,58,
2019-06-14T14:21:43.000Z,52.07441868,5.18098722,37.0,11.792,240.3,1.25,15,gps,0.9,0.8,1.2,47.0,,,,58,
2019-06-14T14:21:54.000Z,52.07440758,5.18095085,41.0,11.792,,0.0,12,gps,1.0,0.8,1.3,47.0,,,,58,
