16:18:49:050,0.08,-100,-6
16:18:49:200,0.33,-99,-1
16:18:49:350,0.57,-100,-11
16:18:49:500,0.82,-98,-4
16:18:49:650,1.07,-100,-8
16:18:49:800,1.31,-100,-9
16:18:49:950,1.56,-100,-4
16:18:50:100,1.8,-96,0
16:18:50:250,2.05,-99,-7
16:18:50:400,2.3,-101,-8
16:18:50:550,2.54,-99,-3
16:18:50:700,2.79,-99,-5
16:18:50:850,3.04,-101,-9
16:18:51:000,3.28,-99,-6
16:18:51:150,3.53,-100,-9
16:18:51:300,3.77,-101,-9
16:18:51:450,4.02,-99,-7
16:18:51:600,4.27,-100,-11
16:18:51:750,4.51,-98,-1
16:18:51:900,4.76,-99,-6
16:18:52:050,5.0,-99,-4
16:18:52:200,5.25,-99,-10
16:18:52:350,5.5,-98,0
16:18:52:500,5.74,-96,2
16:18:52:650,5.99,-99,-8
16:18:52:800,6.24,-98,-2
16:18:52:950,6.48,-98,-1
16:18:53:100,6.73,-92,5
16:18:53:250,6.97,-99,0
16:18:53:400,7.22,-95,1
16:18:53:550,7.47,-98,-2
16:18:53:700,7.71,-99,-1
16:18:53:850,7.96,-98,0
16:18:54:000,8.2,-96,1
16:18:54:150,8.45,-98,-4
16:18:54:300,8.7,-98,-1
16:18:54:450,8.94,-100,-9
16:18:54:600,9.19,-97,0
16:18:54:750,9.44,-101,-8
16:18:54:900,9.68,-100,-15
16:18:55:050,9.93,-99,-9
16:18:55:200,10.17,-99,-7
16:18:55:350,10.42,-97,0
16:18:55:500,10.67,-99,-4
16:18:55:650,10.91,-100,-13
16:18:55:800,11.16,-100,-14
16:18:55:950,11.4,-99,-7
16:18:56:100,11.65,-101,-9
16:18:56:250,11.9,-99,-5
16:18:56:400,12.14,-101,-7
16:18:56:550,12.39,-101,-11
16:18:56:700,12.63,-100,-11
16:18:56:850,12.88,-101,-13
16:18:57:000,13.13,-100,-12
16:18:57:150,13.37,-100,-14
16:18:57:300,13.62,-100,-6
16:18:57:450,13.87,-100,-5
16:18:57:600,14.11,-99,-7
16:18:57:750,14.36,-99,-11
