16:26:46:000,-47,8
16:26:46:150,-45,8
16:26:46:300,-46,11
16:26:46:450,-45,9
16:26:46:600,-47,8
16:26:46:750,-42,8
16:26:46:900,-42,11
16:26:47:050,-48,8
16:26:47:200,-54,8
16:26:47:350,-47,8
16:26:47:500,-48,8
16:26:47:650,-51,9
16:26:47:800,-47,8
16:26:47:950,-51,8
16:26:48:100,-47,8
16:26:48:250,-47,8
16:26:48:400,-46,11
16:26:48:550,-48,8
16:26:48:700,-43,11
16:26:48:850,-48,8
16:26:49:000,-50,8
16:26:49:150,-55,9
16:26:49:300,-46,11
16:26:49:450,-40,8
16:26:49:600,-43,9
16:26:49:750,-41,11
16:26:49:900,-50,10
16:26:50:050,-52,8
16:26:50:200,-55,10
16:26:50:350,-47,8
16:26:50:500,-58,10
16:26:50:650,-58,9
16:26:50:800,-79,10
16:26:50:950,-55,9
16:26:51:100,-53,8
16:26:51:250,-57,8
16:26:51:400,-64,9
16:26:51:550,-68,10
16:26:51:700,-64,9
16:26:51:850,-73,10
16:26:52:000,-71,8
16:26:52:150,-73,10
16:26:52:300,-63,9
16:26:52:450,-66,9
16:26:52:600,-73,10
16:26:52:750,-68,9
16:26:52:900,-75,8
16:26:53:050,-75,11
16:26:53:200,-78,8
16:26:53:350,-72,9
16:26:53:500,-86,8
16:26:53:650,-74,10
16:26:53:800,-78,9
16:26:53:950,-78,10
16:26:54:100,-81,8
16:26:54:250,-80,8
16:26:54:400,-80,9
16:26:54:550,-84,7
16:26:54:700,-82,9
16:26:54:850,-86,6
16:26:55:000,-81,8
16:26:55:150,-85,8
16:26:55:300,-83,9
16:26:55:450,-93,4
16:26:55:600,-89,6
16:26:55:750,-93,3
16:26:55:900,-88,6
16:26:56:050,-83,9
16:26:56:200,-85,7
16:26:56:350,-95,1
16:26:56:500,-93,3
16:26:56:650,-94,4
16:26:56:800,-97,0
16:26:56:950,-99,-6
16:26:57:100,-99,-4
16:26:57:250,-98,-2
16:26:57:400,-94,4
16:26:57:550,-99,-2
16:26:57:700,-96,0
16:26:57:850,-97,1
16:26:58:000,-96,2
16:26:58:150,-99,-3
16:26:58:300,-99,-8
16:26:58:450,-98,-1
16:26:58:600,-100,-5
16:26:58:750,-99,-4
16:26:58:900,-97,0
16:26:59:050,-100,-10
16:26:59:200,-99,-8
16:26:59:350,-100,-5
16:26:59:500,-98,-4
16:26:59:650,-99,-5
16:26:59:800,-99,-10
16:26:59:950,-98,-5
16:27:00:100,-100,-6
16:27:00:250,-99,-8
16:27:00:400,-101,-9
16:27:00:550,-99,-4
16:27:00:700,-97,-1
16:27:00:850,-99,-2
16:27:01:000,-100,-11
16:27:01:150,-99,-2
16:27:01:300,-101,-14
16:27:01:450,-99,-9
16:27:01:600,-99,-14
16:27:01:750,-100,-8
16:27:01:900,-99,-12
16:27:02:050,-100,-10
16:27:02:200,-99,-9
16:27:02:350,-101,-14
16:27:02:500,-100,-16
16:27:02:650,-100,-7
16:27:02:800,-99,-12
16:27:02:950,-101,-12
16:27:03:100,-100,-16
