time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-06-14T12:37:13.411Z,52.080667125612784,5.1762361989820125,50.581815344076205,24.0,146.3187,0.35171342,0,gps,1.5,1.4,2.1,46.8,,,,74,
2019-06-14T12:37:24.000Z,52.08037287394989,5.176316858496031,44.8791735350635,8.0,149.35626,1.3232759,14,gps,,,,46.8,,,,74,
2019-06-14T12:37:35.000Z,52.080273335009046,5.176404847774519,44.00799342638753,8.0,156.43605,0.70733196,15,gps,1.4,1.4,2.0,46.8,,,,73,
2019-06-14T12:37:46.000Z,52.08017096794543,5.176505734050008,43.14625156538098,6.0,154.78224,0.0,26,gps,1.3,1.3,1.9,46.8,,,,73,
2019-06-14T12:37:57.000Z,52.08008243246527,5.176596029389771,43.000560743010006,6.0,148.84572,0.88394594,26,gps,1.6,2.3,2.8,46.8,,,,73,
2019-06-14T12:38:08.000Z,52.07997404544371,5.176718491119406,42.79926827861028,6.0,139.74706,0.9310283,26,gps,1.5,1.9,2.4,46.8,,,,73,
2019-06-14T12:38:18.000Z,52.079860460944005,5.176886407459398,42.62847623086096,6.0,143.60837,1.0727742,26,gps,1.9,2.8,3.4,46.8,,,,73,
2019-06-14T12:38:29.000Z,52.07972418057688,5.177032616049105,42.45662130602528,6.0,140.22263,1.2780688,25,gps,1.3,1.3,1.9,46.8,,,,73,
2019-06-14T12:38:39.000Z,52.079626175665766,5.177159815273814,42.27690089184236,6.0,141.54517,1.2561814,26,gps,0.6,,,46.8,,,,73,
2019-06-14T12:38:50.000Z,52.07948751468904,5.177341312108119,42.08007798297487,6.0,145.9832,1.3978002,26,gps,1.6,2.0,2.6,46.8,,,,73,
2019-06-14T12:39:01.000Z,52.07937019183319,5.177479660819151,41.895787223312865,6.0,146.66803,1.281018,25,gps,1.6,2.0,2.6,46.8,,,,73,
2019-06-14T12:39:12.000Z,52.079250318011745,5.177643470172027,41.75441014202961,6.0,144.17284,1.3598305,26,gps,1.9,2.3,3.0,46.8,,,,73,
2019-06-14T12:39:23.000Z,52.07913417622881,5.17778254575884,41.79154653606112,6.0,149.1034,1.391841,26,gps,1.5,2.0,2.5,46.8,,,,73,
2019-06-14T12:39:34.000Z,52.07902443367466,5.177945007130783,41.90094857221713,6.0,146.81033,1.3651565,25,gps,1.5,1.8,2.4,46.8,,,,72,
2019-06-14T12:39:44.000Z,52.07892036853849,5.1781123090921986,42.16792066909227,6.0,146.35808,1.2326155,25,gps,,,,46.8,,,,72,
2019-06-14T12:39:55.000Z,52.07880772467209,5.178225103654798,42.5996092691678,6.0,147.77411,1.1980283,24,gps,1.9,2.3,3.0,46.8,,,,72,
2019-06-14T12:40:06.000Z,52.078710415030145,5.178329875785377,43.128038658369896,6.0,146.56389,1.1510351,24,gps,1.6,2.0,2.6,46.8,,,,72,
2019-06-14T12:40:17.000Z,52.07860486296143,5.178474133289962,43.648434418838775,6.0,151.20956,1.1617534,26,gps,1.4,1.8,2.3,46.8,,,,72,
2019-06-14T12:40:27.000Z,52.0785037021131,5.178626714668417,44.07817435263405,6.0,136.5995,1.1327674,25,gps,1.6,2.1,2.6,46.8,,,,72,
2019-06-14T12:41:12.507Z,52.07875366626157,5.178375086105275,57.35880560365013,8.0,265.135,0.45955133,9,gps,1.5,1.4,2.0,46.8,,,,72,
2019-06-14T12:45:16.036Z,52.080561507885356,5.176263218762109,50.57206065478783,32.0,53.74593,0.54063356,8,gps,3.2,99.0,140.0,46.8,,,,72,
2019-06-14T12:45:27.000Z,52.08057010426321,5.176209294414421,52.27029960007652,6.0,,0.0,13,gps,1.2,1.2,1.7,46.8,,,,72,
2019-06-14T12:45:38.000Z,52.080561699560114,5.176195253934745,49.82814828225676,4.0,,0.0,14,gps,1.0,1.2,1.5,46.8,,,,72,
