time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-06-14T13:02:54.229Z,52.08040389,5.17624809,53.0,18.224,103.0,0.43,0,gps,,,,,,,,67,
2019-06-14T13:03:05.224Z,52.08059911,5.17632661,84.0,21.44,103.0,0.19,17,gps,0.7,0.8,1.1,47.0,,,,67,
2019-06-14T13:03:16.000Z,52.08051609,5.17617631,57.0,6.432,,0.0,17,gps,0.7,0.6,0.9,47.0,,,,67,
2019-06-14T13:03:28.000Z,52.08050144,5.17612332,53.0,5.36,,0.0,20,gps,0.6,0.6,0.8,47.0,,,,67,
2019-06-14T13:03:39.000Z,52.08043014,5.17617924,51.0,3.216,168.0,0.93,20,gps,0.6,0.6,0.8,47.0,,,,67,
2019-06-14T13:03:50.000Z,52.08021796,5.17644432,46.0,3.216,163.0,2.77,20,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:04:01.000Z,52.07991613,5.1767869,45.0,7.504,147.3,4.53,15,gps,0.8,0.7,1.1,47.0,,,,67,
2019-06-14T13:04:12.000Z,52.07956336,5.17726188,46.0,11.792,147.0,4.12,15,gps,0.7,0.7,1.0,47.0,,,,67,
2019-06-14T13:04:23.000Z,52.07923485,5.17763479,42.0,15.008,145.7,3.7,11,gps,0.9,0.8,1.2,47.0,,,,67,
2019-06-14T13:04:34.000Z,52.07882612,5.17817318,39.0,10.72,143.9,5.29,19,gps,0.6,0.7,0.9,47.0,,,,67,
2019-06-14T13:04:45.000Z,52.07840308,5.17871173,44.0,10.72,145.7,3.6,20,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:04:56.000Z,52.07802886,5.17910519,43.0,10.72,147.7,4.86,20,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:05:07.000Z,52.07764956,5.17954859,44.0,10.72,143.5,4.94,20,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:05:18.000Z,52.07730269,5.1800551,41.0,10.72,140.2,4.93,19,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:05:29.000Z,52.07689457,5.18053045,43.0,10.72,145.5,3.87,20,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:05:40.000Z,52.07646092,5.18098443,39.0,10.72,140.8,4.99,19,gps,0.6,0.7,0.9,47.0,,,,67,
2019-06-14T13:05:51.000Z,52.07610993,5.1814589,41.0,11.792,143.8,4.26,19,gps,0.7,0.7,0.9,47.0,,,,67,
2019-06-14T13:06:02.000Z,52.07573818,5.18196217,41.0,10.72,149.1,3.71,17,gps,0.8,0.8,1.1,47.0,,,,67,
2019-06-14T13:06:13.000Z,52.07536515,5.18237766,42.0,10.72,143.0,3.79,20,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:06:24.000Z,52.07501138,5.18280573,44.0,10.72,150.6,4.68,18,gps,0.6,0.7,0.9,47.0,,,,67,
2019-06-14T13:06:35.000Z,52.07461443,5.18328811,41.0,11.792,144.5,3.49,19,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:06:46.000Z,52.07415824,5.18383551,41.0,11.792,154.9,5.07,19,gps,0.6,0.6,0.9,47.0,,,,67,
2019-06-14T13:06:57.000Z,52.07381897,5.184271,42.0,10.72,129.2,3.11,17,gps,0.7,0.7,1.0,47.0,,,,67,
2019-06-14T13:07:08.000Z,52.07357751,5.18466319,42.0,10.72,133.8,3.26,16,gps,0.7,0.7,1.0,47.0,,,,67,
2019-06-14T13:07:19.000Z,52.07321068,5.18515912,41.0,10.72,145.4,3.69,18,gps,0.7,0.7,1.0,47.0,,,,67,
2019-06-14T13:07:30.000Z,52.07296885,5.18559976,45.0,10.72,151.0,3.3,16,gps,0.8,0.7,1.1,47.0,,,,67,
2019-06-14T13:07:41.000Z,52.07269651,5.18587589,44.0,10.72,146.3,2.98,16,gps,0.9,0.7,1.1,47.0,,,,67,
2019-06-14T13:07:52.000Z,52.07242156,5.18617829,41.0,10.72,147.7,3.89,16,gps,0.9,0.7,1.1,47.0,,,,67,
2019-06-14T13:08:03.000Z,52.07209438,5.18657068,44.0,11.792,139.9,4.33,16,gps,0.8,0.8,1.1,47.0,,,,67,
2019-06-14T13:08:14.000Z,52.07180006,5.18693248,41.0,10.72,141.5,2.09,16,gps,0.9,0.7,1.1,47.0,,,,67,
2019-06-14T13:08:25.000Z,52.07172549,5.18716148,44.0,10.72,,0.0,17,gps,0.7,0.7,0.9,47.0,,,,67,
2019-06-14T13:08:36.000Z,52.07172385,5.18717572,45.0,10.72,,0.0,18,gps,0.7,0.7,1.0,47.0,,,,67,
2019-06-14T13:08:47.000Z,52.07172429,5.18717609,45.0,12.864,,0.0,14,gps,0.8,0.7,1.1,47.0,,,,67,
2019-06-14T13:08:58.000Z,52.07172413,5.18717671,45.0,12.864,,0.0,9,gps,1.3,0.8,1.5,47.0,,,,67,
2019-06-14T13:09:09.000Z,52.07172378,5.1871769,45.0,10.72,,0.0,15,gps,0.7,0.7,1.0,47.0,,,,67,
2019-06-14T13:09:20.000Z,52.07172349,5.18717698,45.0,10.72,,0.0,12,gps,1.1,0.8,1.3,47.0,,,,67,
