time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-06-19T12:25:53.000Z,52.99362484,4.80821431,53.0,33.232002,80.0,3.89,0,gps,0.8,0.7,1.1,46.0,,,,69,
2019-06-19T12:26:03.000Z,52.99342984,4.80885765,48.0,3.216,112.5,4.79,14,gps,0.7,0.7,1.0,46.0,,,,69,
2019-06-19T12:26:13.000Z,52.99323008,4.80944887,46.0,3.216,137.9,4.85,16,gps,0.7,0.6,1.0,46.0,,,,69,
2019-06-19T12:26:24.000Z,52.99298294,4.81013838,46.0,3.216,151.9,4.81,15,gps,0.8,0.6,1.0,46.0,,,,69,
2019-06-19T12:26:35.000Z,52.99281026,4.81081767,44.0,3.216,130.5,3.8,12,gps,0.8,0.7,1.1,46.0,,,,69,
2019-06-19T12:26:46.000Z,52.99261892,4.81134044,45.0,3.216,129.5,3.81,15,gps,0.7,0.7,1.0,46.0,,,,69,
2019-06-19T12:26:57.000Z,52.99242676,4.8118719,44.0,4.288,120.2,4.09,15,gps,0.7,0.7,1.0,46.0,,,,69,
2019-06-19T12:27:08.000Z,52.99222477,4.81233033,44.0,4.288,124.1,3.64,15,gps,0.8,0.6,1.0,46.0,,,,69,
2019-06-19T12:27:19.000Z,52.99203089,4.81288515,42.0,3.216,121.3,3.63,16,gps,0.7,0.6,1.0,46.0,,,,69,
2019-06-19T12:27:30.000Z,52.99183883,4.8133792,41.0,3.216,124.8,3.43,16,gps,0.7,0.6,1.0,46.0,,,,69,
2019-06-19T12:27:41.000Z,52.99158579,4.81383116,44.0,3.216,131.1,3.79,15,gps,0.8,0.6,1.0,46.0,,,,69,
2019-06-19T12:27:52.000Z,52.99134658,4.8142909,42.0,3.216,133.8,3.7,14,gps,0.8,0.7,1.0,46.0,,,,69,
2019-06-19T12:28:03.000Z,52.99105725,4.81467735,43.0,3.216,107.3,3.38,16,gps,0.7,0.6,1.0,46.0,,,,69,
2019-06-19T12:28:14.000Z,52.99100718,4.81479917,45.0,3.216,,0.0,18,gps,0.7,0.6,0.9,46.0,,,,69,
2019-06-19T12:28:25.000Z,52.99110384,4.81487403,49.0,3.216,42.5,1.31,18,gps,0.7,0.6,0.9,46.0,,,,69,
2019-06-19T12:28:36.000Z,52.99126094,4.81493406,51.0,3.216,39.8,1.45,17,gps,0.7,0.6,0.9,46.0,,,,69,
2019-06-19T12:28:47.000Z,52.9914393,4.81494506,52.0,4.288,14.3,2.02,18,gps,0.7,0.6,0.9,46.0,,,,69,
2019-06-19T12:28:58.000Z,52.99159785,4.81495259,49.0,7.504,356.5,1.38,18,gps,0.7,0.6,0.9,46.0,,,,69,
2019-06-19T12:29:09.000Z,52.99174687,4.81496984,50.0,4.288,21.9,1.61,17,gps,0.7,0.6,0.9,46.0,,,,69,
2019-06-19T12:29:19.000Z,52.99190969,4.81505183,50.0,9.648001,48.8,1.53,16,gps,0.7,0.7,1.0,46.0,,,,69,
2019-06-19T12:29:30.000Z,52.99204321,4.81519393,44.0,10.72,46.3,1.51,16,gps,0.7,0.6,1.0,46.0,,,,69,
