time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-06-19T11:53:59.413Z,52.95702138,4.78808433,52.0,5.36,161.0,3.17,0,gps,,,,,,,,74,
2019-06-19T11:54:10.000Z,52.95675453,4.78838682,46.0,4.288,165.5,3.29,18,gps,0.7,0.6,0.9,46.0,,,,74,
2019-06-19T11:54:20.000Z,52.95650198,4.78849343,51.0,4.288,155.1,1.88,16,gps,0.7,0.6,0.9,46.0,,,,74,
2019-06-19T11:54:31.000Z,52.95652194,4.78864499,47.0,6.432,13.6,2.8,14,gps,0.7,0.7,0.9,46.0,,,,74,
2019-06-19T11:54:41.000Z,52.95676381,4.78870382,52.0,6.432,359.3,2.96,16,gps,0.7,0.7,0.9,46.0,,,,74,
2019-06-19T11:54:51.000Z,52.9570481,4.78875974,51.0,3.216,3.9,3.28,12,gps,0.7,0.7,0.9,46.0,,,,74,
2019-06-19T11:55:02.000Z,52.95738647,4.78878914,51.0,4.288,12.6,3.25,16,gps,0.7,0.7,0.9,46.0,,,,74,
2019-06-19T11:55:13.000Z,52.95764194,4.78883164,48.0,4.288,13.9,3.11,16,gps,0.7,0.7,0.9,46.0,,,,74,
2019-06-19T11:55:23.000Z,52.95786385,4.78908636,48.0,3.216,357.8,3.11,14,gps,0.7,0.7,0.9,46.0,,,,74,
2019-06-19T11:55:33.000Z,52.95803112,4.78946598,48.0,3.216,25.1,3.18,15,gps,0.7,0.7,1.0,46.0,,,,74,
2019-06-19T11:55:44.000Z,52.95818967,4.78995937,47.0,3.216,58.9,3.29,12,gps,0.7,0.7,1.0,46.0,,,,74,
2019-06-19T11:55:54.000Z,52.95827095,4.79042597,46.0,3.216,85.1,3.18,16,gps,0.7,0.7,0.9,46.0,,,,74,
2019-06-19T11:56:05.000Z,52.95829225,4.79096361,44.0,3.216,103.4,3.22,14,gps,0.7,0.7,0.9,46.0,,,,74,
2019-06-19T11:56:16.000Z,52.95820382,4.79139291,44.0,3.216,134.2,2.96,15,gps,0.7,0.7,0.9,46.0,,,,74,
