Time,Distance,RSSI,SNR
13:30:17:083,9.01,-42,8
13:30:17:431,9.93,-52,11
13:30:17:781,10.84,-51,8
13:30:18:129,11.75,-46,10
13:30:18:481,12.68,-44,8
13:30:18:824,13.57,-45,8
13:30:19:184,14.52,-38,11
13:30:19:531,15.43,-45,8
13:30:19:883,16.35,-46,11
13:30:20:233,17.27,-48,9
13:30:20:583,18.18,-59,10
13:30:20:935,19.1,-58,10
13:30:21:283,20.02,-72,8
13:30:21:631,20.93,-66,9
13:30:21:983,21.85,-69,9
13:30:22:335,22.77,-68,9
13:30:22:683,23.68,-62,10
13:30:23:035,24.61,-72,8
13:30:23:384,25.52,-70,9
13:30:24:436,28.28,-69,10
13:30:24:784,29.19,-72,9
13:30:25:136,29.93,-75,9
13:30:25:488,30.4,-73,9
13:30:25:836,30.87,-71,9
13:30:26:537,31.81,-81,7
13:30:26:886,32.28,-77,7
13:30:27:238,32.75,-76,8
13:30:27:586,33.21,-73,8
13:30:27:938,33.68,-72,8
13:30:28:286,34.15,-78,7
13:30:28:989,35.09,-77,8
13:30:29:340,35.56,-81,5
13:30:30:040,36.5,-75,8
13:30:30:388,36.96,-72,9
13:30:31:088,37.9,-81,8
13:30:31:440,38.37,-75,7
13:30:31:788,38.83,-80,7
13:30:32:140,39.31,-79,7
13:30:33:189,40.71,-79,6
13:30:34:241,42.12,-79,7
13:30:34:593,42.59,-82,4
13:30:34:941,43.05,-80,9
13:30:35:290,43.52,-81,9
13:30:36:342,44.9,-75,8
13:30:36:690,45.34,-80,7
13:30:37:042,45.78,-80,5
13:30:37:394,46.22,-76,10
13:30:37:742,46.66,-81,7
13:30:38:094,47.1,-79,7
13:30:38:791,47.98,-91,4
13:30:39:143,48.42,-84,5
13:30:39:495,48.86,-82,9
13:30:39:843,49.3,-88,4
13:30:40:195,49.74,-84,7
13:30:40:542,50.18,-83,6
13:30:40:894,50.62,-82,8
13:30:41:246,51.06,-85,6
13:30:41:595,51.5,-83,6
13:30:42:295,52.38,-90,3
13:30:42:647,52.82,-85,8
13:30:42:995,53.26,-85,5
13:30:43:347,53.7,-81,9
13:30:43:695,54.14,-83,5
13:30:44:047,54.58,-87,8
13:30:44:747,55.46,-84,6
13:30:45:095,55.89,-90,3
13:30:45:447,56.34,-91,4
13:30:45:799,56.78,-81,7
13:30:46:147,57.17,-90,4
13:30:46:499,57.51,-90,5
13:30:46:846,57.85,-94,-2
13:30:47:198,58.19,-87,7
13:30:47:547,58.53,-85,7
13:30:47:899,58.87,-89,0
13:30:48:251,59.21,-86,7
13:30:48:951,59.89,-89,3
13:30:49:299,60.22,-95,-1
13:30:49:651,60.56,-85,6
13:30:49:999,60.9,-85,5
13:30:50:348,61.24,-89,1
13:30:50:700,61.58,-88,4
13:30:51:050,61.92,-88,6
13:30:51:402,62.26,-85,6
13:30:51:750,62.59,-88,3
13:30:52:102,62.93,-81,10
13:30:52:451,63.27,-94,1
13:30:52:803,63.61,-82,7
13:30:53:500,64.29,-87,5
13:30:54:200,64.96,-89,3
13:30:54:552,65.3,-93,-1
13:30:54:904,65.64,-92,1
13:30:55:252,65.98,-90,4
13:30:55:604,66.32,-86,1
13:30:55:953,66.66,-88,3
13:30:56:293,66.99,-86,6
13:30:56:652,67.33,-93,2
13:30:56:996,67.67,-83,6
13:30:57:355,68.17,-91,1
13:30:57:703,68.65,-84,5
13:30:58:055,69.15,-88,5
13:30:58:403,69.63,-93,2
13:30:58:755,70.12,-89,5
13:30:59:103,70.61,-88,6
13:30:59:456,71.1,-87,5
13:31:00:156,72.08,-92,-2
13:31:00:854,73.06,-88,6
13:31:01:558,74.04,-90,3
13:31:01:906,74.53,-87,5
13:31:02:258,75.02,-91,4
13:31:02:607,75.51,-90,5
13:31:02:957,76,-92,-1
13:31:03:309,76.49,-90,5
13:31:03:657,76.98,-92,-1
13:31:04:009,77.47,-90,5
13:31:04:358,77.96,-93,1
13:31:04:710,78.45,-87,4
13:31:05:759,79.92,-94,0
13:31:06:107,80.4,-93,-1
13:31:07:159,81.85,-94,0
13:31:07:511,82.28,-89,3
13:31:07:860,82.71,-94,0
13:31:08:212,83.15,-94,-1
13:31:08:909,84.01,-92,0
13:31:09:262,84.45,-90,0
13:31:09:606,84.87,-92,1
13:31:09:949,85.29,-96,-3
13:31:10:312,85.74,-91,0
13:31:11:010,86.61,-95,-2
13:31:11:363,87.04,-93,-2
13:31:12:763,88.77,-93,4
13:31:13:111,89.2,-90,2
13:31:13:815,90.07,-95,-3
13:31:15:212,91.8,-94,-2
13:31:15:564,92.23,-95,-3
13:31:15:916,92.67,-93,1
13:31:16:263,93.1,-94,1
13:31:16:615,93.53,-92,3
13:31:16:965,93.96,-94,1
13:31:17:317,94.4,-90,3
13:31:18:366,95.63,-89,4
13:31:18:716,96,-92,1
13:31:19:068,96.37,-95,-2
13:31:20:819,98.23,-93,-3
13:31:21:519,98.97,-92,0
13:31:21:867,99.34,-92,0
13:31:22:569,100.08,-92,0
13:31:24:321,101.94,-95,-2
13:31:25:021,102.68,-92,-4
13:31:25:371,103.05,-94,2
13:31:27:471,105.27,-97,-9
13:31:27:822,105.64,-92,-3
13:31:28:170,106.01,-93,4
13:31:28:520,106.38,-94,1
13:31:29:219,107.09,-95,0
13:31:29:571,107.4,-92,-5
13:31:29:923,107.72,-97,-3
13:31:30:623,108.34,-93,-1
13:31:31:324,108.97,-96,-1
13:31:31:667,109.28,-98,-7
13:31:32:011,109.58,-95,-1
13:31:32:374,109.91,-94,0
13:31:33:774,111.16,-93,3
13:31:34:126,111.48,-94,3
13:31:34:826,112.1,-91,0
13:31:35:175,112.41,-94,-1
13:31:35:875,113.04,-89,5
13:31:36:227,113.36,-92,4
13:31:36:575,113.67,-91,1
13:31:36:927,113.98,-95,0
13:31:37:264,114.28,-92,-2
13:31:37:628,114.61,-96,0
13:31:39:028,115.86,-95,-1
13:31:39:376,116.17,-95,1
13:31:39:728,116.49,-95,-1
13:31:40:080,116.85,-96,-2
13:31:40:778,117.92,-96,-2
13:31:41:130,118.46,-95,-2
13:31:41:477,118.99,-94,0
13:31:41:829,119.52,-93,-2
13:31:42:529,120.59,-96,-1
13:31:43:230,121.66,-99,-8
13:31:43:931,122.74,-96,-3
13:31:44:631,123.8,-96,0
13:31:46:383,126.48,-97,-4
13:31:47:431,128.08,-91,-7
13:31:47:783,128.62,-93,2
13:31:48:131,129.15,-97,0
13:31:48:483,129.69,-92,-5
13:31:48:835,130.22,-89,2
13:31:49:183,130.76,-90,5
13:31:49:532,131.29,-95,0
13:31:49:884,131.83,-96,-3
13:31:50:232,132.36,-97,-3
13:31:50:584,132.9,-94,-1
13:31:50:936,133.43,-99,-7
13:31:51:636,134.44,-97,-6
13:31:52:684,135.93,-98,-10
13:31:54:088,137.93,-96,-7
13:31:56:188,140.93,-96,-9
13:31:57:237,142.43,-95,-1
13:32:01:439,148.29,-98,-11
13:32:05:992,153.41,-98,-6
13:32:07:041,154.6,-98,-10
13:32:08:444,156.18,-98,-11
13:32:12:294,160.5,-97,-9
13:32:12:998,161.25,-97,-11
13:32:16:147,164.64,-97,-11
13:32:17:901,166.52,-98,-9
13:32:18:601,167.27,-96,-6
13:32:20:002,168.78,-98,-6
13:32:22:102,171.04,-98,-6
13:32:26:656,176.36,-99,-15
13:32:27:704,177.6,-97,-5
13:32:29:456,179.69,-97,-10
13:32:30:156,180.52,-99,-9
13:32:31:557,182.19,-97,-5
13:32:33:307,184.28,-99,-6
13:32:35:761,187.81,-97,-9
13:32:39:962,194.26,-97,-12
13:32:44:858,201.77,-99,-8
13:32:49:766,207.37,-96,-8
13:32:54:320,212.51,-95,-11
13:33:00:263,219.91,-98,-13
13:33:15:330,240.29,-99,-15
13:33:17:434,242.98,-98,-6
13:33:18:833,244.19,-99,-12
13:33:21:983,246.9,-100,-13
