Time,Distance,RSSI,SNR
14:01:05:188,0.59,-100,-5
14:01:05:888,2.78,-97,0
14:01:06:238,3.87,-98,-3
14:01:06:589,4.97,-97,-1
14:01:06:939,6.07,-94,4
14:01:07:289,7.16,-96,1
14:01:07:639,8.26,-99,-5
14:01:07:990,9.35,-98,-4
14:01:08:340,10.45,-95,3
14:01:08:690,11.54,-91,5
14:01:09:040,12.64,-93,5
14:01:09:390,13.73,-96,1
14:01:09:741,14.83,-94,3
14:01:10:091,15.93,-95,2
14:01:10:441,17.02,-96,0
14:01:10:791,18.12,-95,2
14:01:11:141,19.21,-91,4
14:01:11:492,20.31,-91,4
14:01:11:842,21.4,-89,6
14:01:12:192,22.5,-92,4
14:01:12:542,23.59,-93,5
14:01:12:892,24.69,-96,-2
14:01:13:593,26.88,-96,1
14:01:13:943,27.98,-98,-5
14:01:14:293,29.07,-96,1
14:01:14:643,30.17,-91,3
14:01:14:994,31.26,-92,6
14:01:15:344,32.36,-94,3
14:01:15:694,33.45,-94,4
14:01:16:044,34.52,-94,4
14:01:16:394,35.36,-93,4
14:01:16:745,36.2,-94,4
14:01:17:445,37.89,-94,4
14:01:17:795,38.73,-96,1
14:01:18:145,39.57,-93,5
14:01:18:496,40.42,-94,4
14:01:18:846,41.26,-94,5
14:01:19:196,42.1,-94,3
14:01:19:546,42.95,-93,5
14:01:19:896,43.79,-93,5
14:01:20:247,44.63,-92,6
14:01:20:597,45.48,-95,2
14:01:20:947,46.32,-92,5
14:01:21:297,47.16,-91,4
14:01:21:647,48,-89,7
14:01:21:998,48.85,-86,8
14:01:22:348,49.69,-87,8
14:01:22:698,50.53,-88,7
14:01:23:048,51.38,-88,8
14:01:23:398,52.22,-89,7
14:01:23:749,53.06,-88,7
14:01:24:099,53.91,-86,7
14:01:24:449,54.75,-87,8
14:01:24:799,55.59,-88,8
14:01:25:149,56.43,-91,6
14:01:25:500,57.28,-92,5
14:01:25:850,58.12,-90,6
14:01:26:200,58.96,-91,5
14:01:26:550,59.81,-87,9
14:01:26:900,60.65,-86,7
14:01:27:251,61.48,-85,7
14:01:27:601,62.31,-85,7
14:01:27:951,63.14,-90,6
14:01:28:301,63.97,-88,8
14:01:28:651,64.8,-87,8
14:01:29:002,65.63,-87,9
14:01:29:352,66.46,-87,8
14:01:29:702,67.29,-87,8
14:01:30:052,68.12,-88,7
14:01:30:402,68.95,-90,5
14:01:30:753,69.78,-92,4
14:01:31:103,70.61,-93,4
14:01:31:453,71.44,-96,2
14:01:31:803,72.27,-96,0
14:01:32:154,73.1,-98,-4
14:01:32:504,73.93,-98,-3
14:01:33:204,75.59,-98,-6
14:01:33:554,76.42,-98,-6
14:01:33:905,77.25,-99,-2
14:01:34:255,78.08,-97,0
14:01:34:605,78.91,-97,0
14:01:34:955,79.74,-95,0
14:01:35:305,80.57,-95,2
14:01:35:656,81.4,-95,3
14:01:36:006,82.23,-95,1
14:01:36:356,83.06,-95,3
14:01:36:706,83.88,-97,0
14:01:37:056,84.71,-97,-2
14:01:37:407,85.55,-97,-2
14:01:37:757,86.37,-99,-2
14:01:38:107,87.15,-99,-5
14:01:38:457,87.81,-96,-2
14:01:38:807,88.47,-97,-4
14:01:39:158,89.13,-96,-2
14:01:39:508,89.78,-96,-1
14:01:39:858,90.44,-97,-1
14:01:40:208,91.1,-95,0
14:01:40:558,91.76,-93,2
14:01:40:909,92.42,-93,3
14:01:41:259,93.07,-92,3
14:01:41:609,93.73,-92,4
14:01:41:958,94.39,-94,1
14:01:42:309,95.05,-93,3
14:01:42:660,95.71,-96,0
14:01:43:009,96.36,-93,3
14:01:43:360,97.02,-94,3
14:01:43:710,97.68,-93,3
14:01:44:411,99,-95,1
14:01:44:761,99.65,-97,0
14:01:45:111,100.31,-96,1
14:01:45:461,100.97,-96,0
14:01:45:811,101.63,-97,0
14:01:46:162,102.29,-95,0
14:01:46:512,102.94,-94,2
14:01:46:861,103.6,-96,0
14:01:47:212,104.26,-95,1
14:01:47:562,104.92,-96,1
14:01:47:913,105.58,-95,3
14:01:48:263,106.31,-96,0
14:01:48:612,107.07,-93,3
14:01:48:962,107.82,-93,4
14:01:49:313,108.58,-99,-5
14:01:49:664,109.34,-100,-7
14:01:50:014,110.1,-99,-4
14:01:50:363,110.86,-93,3
14:01:50:714,111.62,-93,3
14:01:51:064,112.38,-94,3
14:01:51:414,113.14,-93,5
14:01:51:765,113.9,-91,5
14:01:52:114,114.65,-92,5
14:01:52:464,115.41,-91,5
14:01:52:815,116.17,-93,5
14:01:53:166,116.93,-92,5
