"time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation"
"2019-06-19T12:01:05.000Z,52.95857271,4.79187375,47,10.72,,0,0,gps,1,0.8,1.3,46,,,,73,""locatie rotterdam: 52.957091,4.793124"""
"2019-06-19T12:01:16.000Z,52.95887873,4.79179693,42,3.216,355.3,2.06,16,gps,0.7,0.7,1,46,,,,73,"
"2019-06-19T12:01:27.000Z,52.95910581,4.7916659,44,3.216,342.9,2.12,15,gps,0.7,0.7,1,46,,,,73,"
"2019-06-19T12:01:38.000Z,52.95933509,4.79158534,43,3.216,340.4,2.01,14,gps,0.8,0.7,1,46,,,,73,"
"2019-06-19T12:01:48.000Z,52.95950076,4.79152954,41,4.288,344.8,2.11,9,gps,0.9,0.7,1.1,46,,,,73,"
"2019-06-19T12:01:59.000Z,52.95970911,4.79144563,43,3.216,349.2,2.72,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:11.000Z,52.95999384,4.79130742,44,3.216,331.5,2.87,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:21.000Z,52.96022574,4.79107368,48,3.216,325.2,3.18,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:31.000Z,52.96046848,4.79080624,51,3.216,322.1,3.23,10,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:42.000Z,52.96074038,4.79054686,50,3.216,322.8,3.13,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:53.000Z,52.96097553,4.79032448,48,3.216,322.7,2.69,10,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:03:04.000Z,52.9612356,4.79007216,49,3.216,327.3,3.21,11,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:03:15.000Z,52.96152786,4.78983383,47,3.216,326.9,3.14,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:03:26.000Z,52.96181718,4.78958294,45,3.216,333.6,3.19,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:03:37.000Z,52.9620998,4.78937674,44,3.216,331.8,3.05,16,gps,0.7,0.7,1,46,,,,73,"
"2019-06-19T12:03:48.000Z,52.96239875,4.78919021,44,3.216,335.8,3.3,12,gps,0.8,0.7,1.1,46,,,,72,"
"2019-06-19T12:03:59.000Z,52.96269973,4.78901675,43,3.216,343.9,3.47,10,gps,0.8,0.7,1.1,46,,,,72,"
"2019-06-19T12:04:10.000Z,52.96302883,4.78891034,43,3.216,350.7,3.4,15,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:04:21.000Z,52.96333987,4.78882699,43,3.216,347.4,3.8,16,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:04:32.000Z,52.96367601,4.78876207,45,3.216,349.6,3.52,16,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:04:43.000Z,52.9640125,4.78874863,46,3.216,357.7,3.68,12,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:04:53.000Z,52.96431758,4.788773,48,3.216,0,3.48,11,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:04.000Z,52.96466074,4.78881405,47,3.216,7.1,3.43,10,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:15.000Z,52.96500752,4.78892503,45,4.288,12.2,3.48,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:26.000Z,52.96533214,4.78908325,45,5.36,12.2,3.31,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:37.000Z,52.96563295,4.78922959,48,5.36,9.9,3.26,13,gps,0.8,0.7,1,46,,,,72,"
